Province/State,Country/Region,Last Update,Confirmed,Deaths,Recovered
Hubei,Mainland China,2020-02-26T14:13:10,65187,2615,20969
Guangdong,Mainland China,2020-02-26T10:33:02,1347,7,851
Henan,Mainland China,2020-02-26T10:33:02,1271,19,1033
Zhejiang,Mainland China,2020-02-26T10:33:02,1205,1,867
Hunan,Mainland China,2020-02-26T10:13:11,1016,4,783
Anhui,Mainland China,2020-02-26T10:13:11,989,6,744
Jiangxi,Mainland China,2020-02-26T01:13:04,934,1,719
Shandong,Mainland China,2020-02-26T12:43:02,756,6,377
Jiangsu,Mainland China,2020-02-26T10:13:11,631,0,478
Chongqing,Mainland China,2020-02-26T23:43:02,576,6,384
Sichuan,Mainland China,2020-02-26T10:13:11,531,3,307
Heilongjiang,Mainland China,2020-02-26T10:33:02,480,12,249
Beijing,Mainland China,2020-02-26T00:53:02,400,4,235
Shanghai,Mainland China,2020-02-26T23:53:01,337,3,272
Hebei,Mainland China,2020-02-26T10:33:02,312,6,261
Fujian,Mainland China,2020-02-26T10:33:02,294,1,218
Guangxi,Mainland China,2020-02-26T14:13:10,252,2,147
Shaanxi,Mainland China,2020-02-26T14:13:10,245,1,192
Yunnan,Mainland China,2020-02-26T05:13:16,174,2,144
Hainan,Mainland China,2020-02-26T12:43:02,168,5,129
Guizhou,Mainland China,2020-02-25T08:03:07,146,2,104
Tianjin,Mainland China,2020-02-26T12:43:02,135,3,96
Shanxi,Mainland China,2020-02-26T14:13:10,133,0,104
Liaoning,Mainland China,2020-02-26T00:13:05,121,1,88
Jilin,Mainland China,2020-02-26T14:13:10,93,1,65
Gansu,Mainland China,2020-02-26T14:13:10,91,2,81
Xinjiang,Mainland China,2020-02-26T14:23:03,76,2,34
Inner Mongolia,Mainland China,2020-02-26T15:03:05,75,0,38
Ningxia,Mainland China,2020-02-26T03:53:01,71,0,65
Qinghai,Mainland China,2020-02-21T04:43:02,18,0,18
Tibet,Mainland China,2020-02-12T06:43:02,1,0,1
