Province/State,Country/Region,Last Update,Confirmed,Deaths,Recovered
Hubei,Mainland China,2020-02-22T23:33:06,64084,2346,15299
Guangdong,Mainland China,2020-02-22T10:03:04,1339,5,728
Henan,Mainland China,2020-02-22T14:13:38,1270,19,830
Zhejiang,Mainland China,2020-02-22T11:13:13,1205,1,719
Hunan,Mainland China,2020-02-22T10:03:04,1013,4,692
Anhui,Mainland China,2020-02-22T07:43:03,989,6,597
Jiangxi,Mainland China,2020-02-22T06:13:05,934,1,555
Shandong,Mainland China,2020-02-22T09:43:02,750,4,302
Jiangsu,Mainland China,2020-02-22T07:43:03,631,0,401
Chongqing,Mainland China,2020-02-22T23:23:05,573,6,328
Sichuan,Mainland China,2020-02-22T13:03:03,526,3,250
Heilongjiang,Mainland China,2020-02-22T11:13:13,479,12,204
Beijing,Mainland China,2020-02-22T02:23:05,399,4,178
Shanghai,Mainland China,2020-02-22T06:33:17,335,3,227
Hebei,Mainland China,2020-02-22T12:33:04,309,6,203
Fujian,Mainland China,2020-02-22T14:03:04,293,1,162
Guangxi,Mainland China,2020-02-22T05:53:02,249,2,104
Shaanxi,Mainland China,2020-02-22T09:53:02,245,1,149
Yunnan,Mainland China,2020-02-22T04:43:02,174,2,107
Hainan,Mainland China,2020-02-22T09:53:02,168,4,104
Guizhou,Mainland China,2020-02-22T01:03:10,146,2,90
Tianjin,Mainland China,2020-02-22T12:33:04,135,3,65
Shanxi,Mainland China,2020-02-22T23:23:05,132,0,81
Liaoning,Mainland China,2020-02-22T02:23:05,121,1,66
Gansu,Mainland China,2020-02-21T15:13:07,91,2,76
Jilin,Mainland China,2020-02-22T12:33:04,91,1,52
Xinjiang,Mainland China,2020-02-22T11:13:14,76,2,25
Inner Mongolia,Mainland China,2020-02-22T23:53:01,75,0,26
Ningxia,Mainland China,2020-02-21T06:23:04,71,0,48
Qinghai,Mainland China,2020-02-21T04:43:02,18,0,18
Tibet,Mainland China,2020-02-12T06:43:02,1,0,1
