Province/State,Country/Region,Last Update,Confirmed,Deaths,Recovered
Hubei,Mainland China,2020-02-25T15:23:04,64786,2563,18971
Guangdong,Mainland China,2020-02-25T08:53:02,1347,7,822
Henan,Mainland China,2020-02-25T12:43:02,1271,19,1002
Zhejiang,Mainland China,2020-02-25T09:13:05,1205,1,808
Hunan,Mainland China,2020-02-25T15:03:05,1016,4,768
Anhui,Mainland China,2020-02-25T06:33:02,989,6,712
Jiangxi,Mainland China,2020-02-25T15:03:05,934,1,683
Shandong,Mainland China,2020-02-25T12:53:02,756,6,355
Jiangsu,Mainland China,2020-02-25T00:53:02,631,0,458
Chongqing,Mainland China,2020-02-25T23:23:03,576,6,372
Sichuan,Mainland China,2020-02-25T15:03:05,529,3,289
Heilongjiang,Mainland China,2020-02-25T15:23:04,480,12,243
Beijing,Mainland China,2020-02-25T01:33:02,400,4,215
Shanghai,Mainland China,2020-02-25T06:33:02,336,3,268
Hebei,Mainland China,2020-02-25T12:43:02,311,6,248
Fujian,Mainland China,2020-02-25T10:03:07,294,1,199
Guangxi,Mainland China,2020-02-25T10:03:07,252,2,134
Shaanxi,Mainland China,2020-02-25T15:23:04,245,1,186
Yunnan,Mainland China,2020-02-25T04:53:02,174,2,129
Hainan,Mainland China,2020-02-25T12:53:02,168,5,124
Guizhou,Mainland China,2020-02-25T08:03:07,146,2,104
Tianjin,Mainland China,2020-02-25T15:23:04,135,3,91
Shanxi,Mainland China,2020-02-25T23:13:03,133,0,98
Liaoning,Mainland China,2020-02-25T00:23:03,121,1,83
Jilin,Mainland China,2020-02-25T15:23:04,93,1,63
Gansu,Mainland China,2020-02-24T15:13:07,91,2,80
Xinjiang,Mainland China,2020-02-24T15:03:05,76,2,30
Inner Mongolia,Mainland China,2020-02-25T23:53:02,75,0,35
Ningxia,Mainland China,2020-02-25T03:53:02,71,0,61
Qinghai,Mainland China,2020-02-21T04:43:02,18,0,18
Tibet,Mainland China,2020-02-12T06:43:02,1,0,1
