Province/State,Country/Region,Last Update,Confirmed,Deaths,Recovered
Hubei,Mainland China,2020-02-27T12:13:14,65596,2641,23383
Guangdong,Mainland China,2020-02-27T09:53:02,1347,7,890
Henan,Mainland China,2020-02-27T15:03:11,1272,20,1068
Zhejiang,Mainland China,2020-02-27T12:43:02,1205,1,932
Hunan,Mainland China,2020-02-27T12:43:02,1017,4,804
Anhui,Mainland China,2020-02-27T14:13:06,989,6,792
Jiangxi,Mainland China,2020-02-27T01:43:02,934,1,754
Shandong,Mainland China,2020-02-27T14:13:06,756,6,387
Jiangsu,Mainland China,2020-02-27T14:13:06,631,0,498
Chongqing,Mainland China,2020-02-27T23:23:02,576,6,401
Sichuan,Mainland China,2020-02-27T12:43:02,534,3,321
Heilongjiang,Mainland China,2020-02-27T12:43:02,480,13,270
Beijing,Mainland China,2020-02-27T02:23:13,410,5,248
Shanghai,Mainland China,2020-02-27T04:03:12,337,3,276
Hebei,Mainland China,2020-02-27T12:43:02,317,6,274
Fujian,Mainland China,2020-02-27T10:03:07,296,1,228
Guangxi,Mainland China,2020-02-27T10:03:07,252,2,161
Shaanxi,Mainland China,2020-02-27T12:43:02,245,1,195
Yunnan,Mainland China,2020-02-27T10:03:07,174,2,150
Hainan,Mainland China,2020-02-27T10:03:07,168,5,131
Guizhou,Mainland China,2020-02-27T00:43:02,146,2,112
Tianjin,Mainland China,2020-02-27T23:13:04,136,3,102
Shanxi,Mainland China,2020-02-27T23:13:04,133,0,107
Liaoning,Mainland China,2020-02-27T14:13:06,121,1,93
Jilin,Mainland China,2020-02-27T12:43:02,93,1,67
Gansu,Mainland China,2020-02-26T14:13:10,91,2,81
Xinjiang,Mainland China,2020-02-27T12:43:02,76,2,43
Inner Mongolia,Mainland China,2020-02-27T23:33:02,75,0,43
Ningxia,Mainland China,2020-02-27T10:03:07,72,0,68
Qinghai,Mainland China,2020-02-21T04:43:02,18,0,18
Tibet,Mainland China,2020-02-12T06:43:02,1,0,1
