Province/State,Country/Region,Last Update,Confirmed,Deaths,Recovered
Hubei,Mainland China,2020-02-13T14:13:06,48206,1310,3459
Guangdong,Mainland China,2020-02-13T13:33:01,1241,2,314
Henan,Mainland China,2020-02-13T14:53:02,1169,10,296
Zhejiang,Mainland China,2020-02-13T14:13:06,1145,0,360
Hunan,Mainland China,2020-02-13T11:53:02,968,2,339
Anhui,Mainland China,2020-02-13T13:33:01,910,5,157
Jiangxi,Mainland China,2020-02-13T01:13:08,872,1,170
Jiangsu,Mainland China,2020-02-13T10:33:23,570,0,139
Chongqing,Mainland China,2020-02-13T23:23:05,529,4,128
Shandong,Mainland China,2020-02-13T13:33:01,509,2,105
Sichuan,Mainland China,2020-02-13T13:33:01,451,1,104
Heilongjiang,Mainland China,2020-02-13T12:13:06,395,9,33
Beijing,Mainland China,2020-02-13T14:13:06,366,3,69
Shanghai,Mainland China,2020-02-13T06:13:15,315,1,62
Fujian,Mainland China,2020-02-13T10:33:23,279,0,57
Hebei,Mainland China,2020-02-13T10:33:23,265,3,68
Shaanxi,Mainland China,2020-02-13T10:33:23,229,0,46
Guangxi,Mainland China,2020-02-13T00:23:10,222,2,33
Hainan,Mainland China,2020-02-13T10:43:03,157,4,30
Yunnan,Mainland China,2020-02-13T08:43:08,156,0,27
Guizhou,Mainland China,2020-02-13T10:33:23,135,1,27
Shanxi,Mainland China,2020-02-13T23:23:05,126,0,36
Tianjin,Mainland China,2020-02-13T23:43:02,119,3,21
Liaoning,Mainland China,2020-02-13T14:33:02,117,1,22
Gansu,Mainland China,2020-02-13T15:53:03,90,2,39
Jilin,Mainland China,2020-02-13T13:33:01,84,1,24
Ningxia,Mainland China,2020-02-13T01:23:08,64,0,24
Xinjiang,Mainland China,2020-02-13T10:33:23,63,1,6
Inner Mongolia,Mainland China,2020-02-13T01:23:08,61,0,6
Qinghai,Mainland China,2020-02-13T08:43:08,18,0,11
Tibet,Mainland China,2020-02-12T06:43:02,1,0,1
